observation_id,indicator_id,measurement_date,period_label,period_start,period_end,geography,value,unit,status,dataset_id,vintage_id,observation_version,quality_grade,publication_date,verification_date
OBS-MFG-ASI-PPE-2013-14-INDIA,IND-MFG-ASI-GVA-PPE-001,2014-03-31,2013-14,2013-04-01,2014-03-31,INDIA,786750,"₹ per person engaged, source-defined current prices",observed,DS-MOSPI-ASI-001,VNT-MOSPI-ASI-2017-18,1,A,2020-03-01,2026-09-07
OBS-MFG-ASI-PPE-2014-15-INDIA,IND-MFG-ASI-GVA-PPE-001,2015-03-31,2014-15,2014-04-01,2015-03-31,INDIA,839039,"₹ per person engaged, source-defined current prices",observed,DS-MOSPI-ASI-001,VNT-MOSPI-ASI-2017-18,1,A,2020-03-01,2026-09-07
OBS-MFG-ASI-PPE-2015-16-INDIA,IND-MFG-ASI-GVA-PPE-001,2016-03-31,2015-16,2015-04-01,2016-03-31,INDIA,890423,"₹ per person engaged, source-defined current prices",observed,DS-MOSPI-ASI-001,VNT-MOSPI-ASI-2017-18,1,A,2020-03-01,2026-09-07
OBS-MFG-ASI-PPE-2016-17-INDIA,IND-MFG-ASI-GVA-PPE-001,2017-03-31,2016-17,2016-04-01,2017-03-31,INDIA,917466,"₹ per person engaged, source-defined current prices",observed,DS-MOSPI-ASI-001,VNT-MOSPI-ASI-2017-18,1,A,2020-03-01,2026-09-07
OBS-MFG-ASI-PPE-2017-18-INDIA,IND-MFG-ASI-GVA-PPE-001,2018-03-31,2017-18,2017-04-01,2018-03-31,INDIA,939485,"₹ per person engaged, source-defined current prices",observed,DS-MOSPI-ASI-001,VNT-MOSPI-ASI-2017-18,1,A,2020-03-01,2026-09-07
OBS-MFG-ASI-PPE-2018-19-INDIA,IND-MFG-ASI-GVA-PPE-001,2019-03-31,2018-19,2018-04-01,2019-03-31,INDIA,944717,"₹ per person engaged, source-defined current prices",observed,DS-MOSPI-ASI-001,VNT-MOSPI-ASI-2019-20,1,A,,2026-09-07
OBS-MFG-ASI-PPE-2019-20-INDIA,IND-MFG-ASI-GVA-PPE-001,2020-03-31,2019-20,2019-04-01,2020-03-31,INDIA,893719,"₹ per person engaged, source-defined current prices",observed,DS-MOSPI-ASI-001,VNT-MOSPI-ASI-2019-20,1,A,,2026-09-07
OBS-MFG-ASI-PPE-2020-21-INDIA,IND-MFG-ASI-GVA-PPE-001,2021-03-31,2020-21,2020-04-01,2021-03-31,INDIA,1005083,"₹ per person engaged, source-defined current prices",observed,DS-MOSPI-ASI-001,VNT-MOSPI-ASI-2023-24,1,A,2025-08-27,2026-09-07
OBS-MFG-ASI-PPE-2021-22-INDIA,IND-MFG-ASI-GVA-PPE-001,2022-03-31,2021-22,2021-04-01,2022-03-31,INDIA,1189619,"₹ per person engaged, source-defined current prices",observed,DS-MOSPI-ASI-001,VNT-MOSPI-ASI-2023-24,1,A,2025-08-27,2026-09-07
OBS-MFG-ASI-PPE-2022-23-INDIA,IND-MFG-ASI-GVA-PPE-001,2023-03-31,2022-23,2022-04-01,2023-03-31,INDIA,1187921,"₹ per person engaged, source-defined current prices",observed,DS-MOSPI-ASI-001,VNT-MOSPI-ASI-2023-24,1,A,2025-08-27,2026-09-07
OBS-MFG-ASI-PPE-2023-24-INDIA,IND-MFG-ASI-GVA-PPE-001,2024-03-31,2023-24,2023-04-01,2024-03-31,INDIA,1254949,"₹ per person engaged, source-defined current prices",observed,DS-MOSPI-ASI-001,VNT-MOSPI-ASI-2023-24,1,A,2025-08-27,2026-09-07
