period_label,period_start,period_end,responding_companies,cu_percent,cu_sa_percent,source_vintage,source_status
Q1:2015-16,2015-04-01,2015-06-30,1265,72.3,,VNT-RBI-OBICUS-2018-12-14,observed
Q2:2015-16,2015-07-01,2015-09-30,1002,72.2,,VNT-RBI-OBICUS-2018-12-14,observed
Q3:2015-16,2015-10-01,2015-12-31,1007,73.8,,VNT-RBI-OBICUS-2018-12-14,observed
Q4:2015-16,2016-01-01,2016-03-31,770,75.5,,VNT-RBI-OBICUS-2018-12-14,observed
Q1:2016-17,2016-04-01,2016-06-30,872,71.7,,VNT-RBI-OBICUS-2018-12-14,observed
Q2:2016-17,2016-07-01,2016-09-30,902,72.0,,VNT-RBI-OBICUS-2018-12-14,observed
Q3:2016-17,2016-10-01,2016-12-31,1110,71.0,,VNT-RBI-OBICUS-2018-12-14,observed
Q4:2016-17,2017-01-01,2017-03-31,724,74.6,,VNT-RBI-OBICUS-2018-12-14,observed
Q1:2017-18,2017-04-01,2017-06-30,805,71.2,,VNT-RBI-OBICUS-2018-12-14,observed
Q2:2017-18,2017-07-01,2017-09-30,756,71.8,,VNT-RBI-OBICUS-2018-12-14,observed
Q3:2017-18,2017-10-01,2017-12-31,940,74.1,,VNT-RBI-OBICUS-2018-12-14,observed
Q4:2017-18,2018-01-01,2018-03-31,921,75.2,,VNT-RBI-OBICUS-2018-12-14,observed
Q1:2018-19,2018-04-01,2018-06-30,850,73.8,,VNT-RBI-OBICUS-2018-12-14,observed
